name,lat,lon
3,36.1922841,-115.1592718
1,36.172259,-115.1963237
3,36.1808408,-115.241325
2,36.1010205,-115.2443122
3,36.1137116,-115.3063648
3,36.1679035,-115.138142
2,36.0560257561,-115.225150438
2,36.099142,-115.136192
3,36.0658388,-115.1239441
3,36.0692097,-115.1773388
3,36.175,-115.136389
3,36.3997112534,-115.189260704
2,36.2384622,-115.2319504
2,36.2497194319,-115.244528251
1,36.171192,-115.063465
3,36.0418002,-115.1906076
3,36.046987,-115.1829358
1,36.1629318,-115.15825
2,36.07804,-115.278238
1,36.177516,-115.173218
3,36.0194746369,-115.117385387
2,36.1591089,-115.2509355
3,36.1641707672,-115.289314807
3,36.29733,-115.270268
2,36.2815921,-115.266732
2,36.271169,-115.2677588
3,36.2699064,-115.2628727
3,36.2815367168,-115.286815456
2,36.1727482487,-115.223740004
2,36.1701789,-115.1963847
2,36.1664205,-115.1462142
2,36.1948912,-115.2051145
3,36.2165934,-115.2445735
1,36.1605691,-115.3208852
1,36.1605691,-115.3208852
3,36.3080534,-115.282095
3,36.103953,-115.136215
1,36.114035,-115.128016
2,36.1041299,-115.1377251
3,36.144931,-115.303816
3,36.1448368,-115.2651803
3,36.1405381,-115.1426058
2,36.1430355663,-115.13705937
1,36.1362847,-115.1514119
3,36.1075601,-115.1524761
1,36.1257455,-115.2718422
3,36.1841442,-115.0627713
1,36.0648365484,-115.151221454
3,36.1108454,-115.1187693
2,36.175,-115.136389
2,36.239473,-115.2265117
3,36.2213683,-115.2152267
3,36.1022543,-115.1699583
2,36.108719,-115.1721291
3,36.1100836838,-115.173179008
3,36.2153701,-114.9872821
3,35.9857805002,-115.193836341
2,36.0954151675,-115.174970342
3,36.1599932,-115.3500788
2,36.160552,-115.318872
2,36.1149405,-115.1720257
3,36.11289,-115.171282
2,36.1107749,-115.1721858
2,36.1268841326,-115.167014281
1,36.121428,-115.169617
2,36.1354133,-115.1600836
2,36.117966,-115.174839
1,36.2769844,-115.2793162
2,36.1370959,-115.1696758
3,36.1517469,-115.2053706
1,36.1448952,-115.2001708
2,36.1427849,-115.2062979
1,36.1435479,-115.2038659
3,36.1308989,-115.1907846
2,36.1741303,-115.0622372
2,36.1173756,-115.0972824
3,36.0558874,-115.287817
3,36.1444044,-115.164856
2,36.2088268904,-115.293496677
2,36.0946344879,-115.174006601
3,36.0809667,-115.2244853
1,36.092494,-115.207833
3,36.0864569,-115.2437024
3,36.1165487,-115.0881146
3,36.1384622,-115.1729128
1,36.1646405,-115.2458821
2,36.05545,-115.27919
2,36.1428225,-115.2882531
3,36.1955918,-115.04046
2,35.9833447,-115.1825223
2,36.1714276,-115.2450798
2,36.0140801,-115.1590178
3,36.0121485,-115.15323
2,36.1893827,-115.2069961
3,36.1947007117,-115.205170581
2,36.1951244301,-115.207475737
3,36.1050259,-115.1359481
3,36.0209176,-115.2672983
2,36.1298756,-115.2445306
3,36.1434735,-115.2622382
1,36.073299,-115.19632
1,36.076215,-115.203083
2,36.0890492,-115.0609492
2,36.0291595459,-115.116607666
3,36.1005561,-115.304891
2,36.1010606055,-115.280462827
3,36.1440225,-115.195896
3,36.1462673,-115.1829873
2,36.0635111,-115.2507719
3,36.078093,-115.277923
2,36.1580433,-115.0460999
2,36.0554554752,-115.241407124
3,36.0552438,-115.2258702
3,36.130441,-115.243447
3,36.1456449,-115.2413708
3,36.3255827,-115.2896852
2,36.142019,-115.120134
3,36.1249276,-115.1354186
3,36.0561222,-115.2812612
2,36.17311,-115.125401
1,36.1697096,-115.1236952
3,36.2737596,-115.2528814
2,36.1915723,-115.2593102
3,36.1081923221,-115.176013461
2,36.1265953,-115.1653652
2,36.1051256,-115.1752326
3,36.102918,-115.169751
2,36.1378447,-115.1654364
2,36.1272241,-115.1715512
2,36.1181654,-115.1706363
3,36.1067305,-115.1719754
3,36.1173432,-115.1763623
2,36.1107323,-115.1722365
3,36.1162194,-115.1745719
3,36.119049,-115.176282
2,36.144376,-115.065809
2,35.9954045,-115.2054405
3,36.144051,-115.198702
3,36.1462673,-115.1829873
3,36.1739618,-115.1608111
2,36.1260441832,-115.211447937
2,36.1260788,-115.2198304
3,36.1158141,-115.0961763
1,36.1153217,-115.1016181
1,36.1224746,-115.1654176
2,36.172161,-115.2432525
2,36.3076324,-115.2785988
3,36.2684007,-115.2956118
3,36.265321,-115.26032
2,36.1680995,-115.1922304
3,36.121073531,-115.163920022
2,36.1323077,-115.1589556
2,36.1100828,-115.1538714
3,36.16014,-115.108375
2,36.1593627,-115.1497386
2,36.27129,-115.2062413
3,36.0358596,-115.1827075
3,36.0335356835,-115.208445576
3,36.1235575,-115.2075378
1,36.1233348,-115.2170789
